assists_per_90_overall,key_passes_per_90_overall,goals_per_90_overall,npxg_per_90_overall,xa_per_90_overall,shots_per_90_overall,passes_completed_per_90_overall
0.2,2.03,0.3,0.2,0.27,0.64,32.92
0.0,0.0,0.0,0.1,0.05,2.57,28.29
0.09,0.57,0.0,0.0,0.13,0.0,23.45
0.0,,0.0,,,,
0.0,0.0,0.0,0.0,0.08,0.0,27.39
0.0,0.6,0.24,0.18,0.1,1.31,30.87
0.0,0.0,0.0,0.1,0.05,1.73,20.77
0.0,0.0,0.0,0.0,1.8,0.0,900.0
0.0,0.99,0.49,0.47,0.12,1.97,31.86
0.0,0.5,0.0,0.01,0.12,0.25,56.94
0.09,2.05,0.0,0.03,0.18,0.88,23.33
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.85,0.49,0.36,0.11,1.06,19.0
0.0,,0.0,,,,
0.0,0.0,0.0,0.0,0.08,0.0,36.71
0.0,1.89,0.0,0.0,0.12,0.0,23.68
0.0,0.0,0.17,0.17,0.07,1.46,36.26
0.0,1.26,0.0,0.07,0.07,2.11,15.39
0.0,1.48,0.13,0.1,0.22,0.4,66.56
0.0,1.02,0.1,0.02,0.11,0.91,37.73
0.0,0.52,0.0,0.0,0.13,0.0,47.07
0.0,0.43,0.1,0.08,0.08,0.65,28.59
1.84,5.51,0.0,0.0,1.32,0.0,36.73
0.0,1.62,0.0,0.13,0.14,3.23,35.03
0.94,4.69,0.47,0.39,0.77,2.81,25.78
0.22,1.29,0.11,0.13,0.28,1.4,50.97
0.1,2.14,0.2,0.19,0.33,1.24,76.39
0.0,0.71,0.0,0.02,0.07,0.71,18.18
0.29,2.49,0.29,0.26,0.37,1.3,39.27
0.1,1.15,0.1,0.09,0.16,1.06,23.37
0.0,0.0,0.0,0.41,0.15,11.25,67.5
0.0,0.24,0.0,0.03,0.16,0.48,78.42
0.0,,0.0,,,,
0.22,1.11,0.33,0.23,0.4,2.09,104.86
0.0,1.61,0.0,0.05,0.16,1.61,41.79
0.0,1.21,0.0,0.05,0.12,1.62,33.17
0.1,1.43,0.0,0.05,0.16,1.02,23.83
0.0,1.27,0.0,0.02,0.07,0.32,14.26
0.0,1.0,0.0,0.05,0.1,1.33,35.54
0.0,0.25,0.0,0.02,0.05,0.5,20.5
0.11,0.68,0.0,0.02,0.16,0.46,35.61
0.0,1.64,0.21,0.14,0.14,0.41,47.25
0.0,0.26,0.0,0.04,0.09,1.03,41.28
0.0,0.17,0.52,0.36,0.06,1.39,24.5
0.11,0.67,0.22,0.18,0.16,1.11,33.86
6.43,6.43,0.0,0.0,4.11,0.0,77.14
0.0,0.0,0.0,0.0,0.0,0.0,10.0
0.0,0.86,0.0,0.01,0.14,0.29,61.91
0.16,1.13,0.48,0.33,0.19,1.29,28.66
0.0,,0.0,,,,
0.0,0.54,0.0,0.02,0.19,0.54,67.23
0.0,1.08,0.0,0.03,0.19,0.72,78.53
0.0,,0.0,,,,
0.0,1.63,0.0,0.07,0.18,1.63,57.47
0.0,1.58,0.0,0.05,0.16,1.58,47.37
0.11,0.75,0.33,0.19,0.14,1.38,19.75
0.0,,0.0,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,,,,
0.0,0.1,0.0,0.02,0.06,0.31,29.01
0.1,1.21,0.0,0.02,0.17,0.3,28.62
0.0,1.19,0.0,0.01,0.13,0.27,33.4
0.0,0.0,0.0,0.2,0.11,4.5,42.75
0.32,0.95,0.0,0.01,0.47,0.48,73.33
0.0,0.51,0.0,0.03,0.16,1.01,69.15
0.0,,0.0,,,,
